HN-470s Aile volante  Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0000400
   0.9960600    0.0001900
   0.9911400    0.0004800
   0.9842900    0.0009500
   0.9755300    0.0016000
   0.9648900    0.0024200
   0.9524100    0.0033800
   0.9381500    0.0044800
   0.9221600    0.0057300
   0.9045100    0.0071300
   0.8852600    0.0086900
   0.8644800    0.0103800
   0.8422700    0.0122000
   0.8187100    0.0141100
   0.7938900    0.0161100
   0.7679100    0.0181700
   0.7408800    0.0202700
   0.7128900    0.0223800
   0.6840600    0.0244900
   0.6545100    0.0265600
   0.6243500    0.0285800
   0.5936900    0.0305000
   0.5626700    0.0323000
   0.5314000    0.0339500
   0.5000000    0.0354300
   0.4686100    0.0367300
   0.4373300    0.0378500
   0.4063100    0.0387600
   0.3756600    0.0394700
   0.3454900    0.0399500
   0.3159400    0.0401900
   0.2871100    0.0401800
   0.2591200    0.0399200
   0.2320900    0.0393900
   0.2061100    0.0386000
   0.1812900    0.0375300
   0.1577300    0.0361800
   0.1355200    0.0345600
   0.1147400    0.0326800
   0.0954900    0.0305100
   0.0778400    0.0280900
   0.0618500    0.0254300
   0.0475900    0.0225400
   0.0351100    0.0194500
   0.0244700    0.0161700
   0.0157100    0.0128000
   0.0088600    0.0093900
   0.0039400    0.0060200
   0.0009900    0.0028800
   0.0000000    0.0000000
   0.0009900   -0.0028800
   0.0039400   -0.0060200
   0.0088600   -0.0093900
   0.0157100   -0.0128000
   0.0244700   -0.0161700
   0.0351100   -0.0194500
   0.0475900   -0.0225400
   0.0618500   -0.0254300
   0.0778400   -0.0280900
   0.0954900   -0.0305100
   0.1147400   -0.0326800
   0.1355200   -0.0345600
   0.1577300   -0.0361800
   0.1812900   -0.0375300
   0.2061100   -0.0386000
   0.2320900   -0.0393900
   0.2591200   -0.0399200
   0.2871100   -0.0401800
   0.3159400   -0.0401900
   0.3454900   -0.0399500
   0.3756600   -0.0394700
   0.4063100   -0.0387600
   0.4373300   -0.0378500
   0.4686100   -0.0367300
   0.5000000   -0.0354300
   0.5314000   -0.0339500
   0.5626700   -0.0323000
   0.5936900   -0.0305000
   0.6243500   -0.0285800
   0.6545100   -0.0265600
   0.6840600   -0.0244900
   0.7128900   -0.0223800
   0.7408800   -0.0202700
   0.7679100   -0.0181700
   0.7938900   -0.0161100
   0.8187100   -0.0141100
   0.8422700   -0.0122000
   0.8644800   -0.0103800
   0.8852600   -0.0086900
   0.9045100   -0.0071300
   0.9221600   -0.0057300
   0.9381500   -0.0044800
   0.9524100   -0.0033800
   0.9648900   -0.0024200
   0.9755300   -0.0016000
   0.9842900   -0.0009500
   0.9911400   -0.0004800
   0.9960600   -0.0001900
   0.9990100   -0.0000400
   1.0000000    0.0000000
