HN-163	F3B Norbert Habe
   1.0000000    0.0000000
   0.9990100    0.0001400
   0.9960600    0.0006100
   0.9911400    0.0014400
   0.9842900    0.0026400
   0.9755300    0.0041900
   0.9648900    0.0060200
   0.9524100    0.0080800
   0.9381500    0.0102800
   0.9221600    0.0126600
   0.9045100    0.0152100
   0.8852600    0.0179100
   0.8644800    0.0207500
   0.8422700    0.0236700
   0.8187100    0.0266600
   0.7938900    0.0296900
   0.7679100    0.0327200
   0.7408800    0.0357200
   0.7128900    0.0386800
   0.6840600    0.0415400
   0.6545100    0.0443000
   0.6243500    0.0469200
   0.5936900    0.0493700
   0.5626700    0.0516200
   0.5314000    0.0536600
   0.5000000    0.0554500
   0.4686100    0.0569600
   0.4373300    0.0581800
   0.4063100    0.0590900
   0.3756600    0.0596600
   0.3454900    0.0598900
   0.3159400    0.0597600
   0.2871100    0.0592600
   0.2591200    0.0583700
   0.2320900    0.0571000
   0.2061100    0.0554500
   0.1812900    0.0534200
   0.1577300    0.0510100
   0.1355200    0.0482500
   0.1147400    0.0451300
   0.0954900    0.0416900
   0.0778400    0.0379500
   0.0618500    0.0339400
   0.0475900    0.0297100
   0.0351100    0.0252800
   0.0244700    0.0207100
   0.0157100    0.0161200
   0.0088600    0.0116100
   0.0039400    0.0071900
   0.0009900    0.0031500
   0.0000000    0.0000000
   0.0009900   -0.0026300
   0.0039400   -0.0055700
   0.0088600   -0.0084300
   0.0157100   -0.0111000
   0.0244700   -0.0136400
   0.0351100   -0.0160100
   0.0475900   -0.0181300
   0.0618500   -0.0200100
   0.0778400   -0.0216500
   0.0954900   -0.0230300
   0.1147400   -0.0241900
   0.1355200   -0.0250900
   0.1577300   -0.0257800
   0.1812900   -0.0262500
   0.2061100   -0.0265100
   0.2320900   -0.0265700
   0.2591200   -0.0264500
   0.2871100   -0.0261700
   0.3159400   -0.0257200
   0.3454900   -0.0251100
   0.3756600   -0.0243700
   0.4063100   -0.0235000
   0.4373300   -0.0225100
   0.4686100   -0.0214100
   0.5000000   -0.0201900
   0.5314000   -0.0188500
   0.5626700   -0.0173600
   0.5936900   -0.0157200
   0.6243500   -0.0139600
   0.6545100   -0.0121600
   0.6840600   -0.0103700
   0.7128900   -0.0086500
   0.7408800   -0.0070100
   0.7679100   -0.0054900
   0.7938900   -0.0041100
   0.8187100   -0.0028900
   0.8422700   -0.0018300
   0.8644800   -0.0009300
   0.8852600   -0.0002100
   0.9045100    0.0003300
   0.9221600    0.0007100
   0.9381500    0.0009400
   0.9524100    0.0010300
   0.9648900    0.0010000
   0.9755300    0.0008700
   0.9842900    0.0006700
   0.9911400    0.0004400
   0.9960600    0.0002200
   0.9990100    0.0000600
   1.0000000    0.0000000
