MH34  Martin Hepperle
   1.0000000    0.0000000
   0.9965798    0.0003989
   0.9866593    0.0017657
   0.9709283    0.0042807
   0.9500470    0.0077941
   0.9245354    0.0119460
   0.8946937    0.0163865
   0.8607519    0.0209056
   0.8230501    0.0253936
   0.7819283    0.0297605
   0.7378165    0.0339664
   0.6912248    0.0379516
   0.6426631    0.0416261
   0.5926815    0.0449301
   0.5418101    0.0477839
   0.4906189    0.0501275
   0.4396378    0.0518812
   0.3894369    0.0530051
   0.3405463    0.0534295
   0.2934559    0.0531244
   0.2486658    0.0520401
   0.2066160    0.0501466
   0.1677065    0.0474441
   0.1322973    0.0439228
   0.1006883    0.0396226
   0.0731397    0.0345838
   0.0498313    0.0288862
   0.0309131    0.0226601
   0.0164550    0.0160854
   0.0064770    0.0094322
   0.0010390    0.0031604
   0.0002796    0.0013301
   0.0000000    0.0000000
   0.0000904   -0.0011500
   0.0006507   -0.0022298
   0.0016811   -0.0033395
   0.0062622   -0.0065981
   0.0172838   -0.0114146
   0.0332554   -0.0159695
   0.0540770   -0.0200329
   0.0796183   -0.0235348
   0.1096695   -0.0264152
   0.1439806   -0.0286642
   0.1822315   -0.0302920
   0.2240323   -0.0313186
   0.2689729   -0.0317842
   0.3165733   -0.0317290
   0.3663237   -0.0312131
   0.4176639   -0.0302767
   0.4700440   -0.0289999
   0.5228440   -0.0274230
   0.5754839   -0.0256061
   0.6273438   -0.0235895
   0.6778036   -0.0214433
   0.7262934   -0.0191778
   0.7722131   -0.0168331
   0.8150128   -0.0143993
   0.8541923   -0.0117968
   0.8894918   -0.0089455
   0.9207611   -0.0060354
   0.9476606   -0.0034468
   0.9697002   -0.0014997
   0.9862100   -0.0003844
   0.9965000   -0.0000311
   1.0000000    0.0000000
