Smoothed ATR airfoil coordinates obtained  using AFSMO (Harry Morgan's NASA smoothing program)
   1.0000000    0.0000000
   0.9680006    0.0051038
   0.9410012    0.0097771
   0.9140018    0.0148203
   0.8850025    0.0205138
   0.8590031    0.0257169
   0.8300038    0.0314604
   0.8050044    0.0362734
   0.7760050    0.0416069
   0.7510055    0.0459999
   0.7230061    0.0507332
   0.6960066    0.0551565
   0.6700071    0.0592996
   0.6490075    0.0625421
   0.6230080    0.0663652
   0.5980084    0.0698682
   0.5750088    0.0729910
   0.5560091    0.0755333
   0.5350094    0.0783158
   0.5170097    0.0806380
   0.4880101    0.0841714
   0.4580105    0.0874150
   0.4310108    0.0899583
   0.4050111    0.0921314
   0.3810113    0.0939743
   0.3380116    0.0969594
   0.2950119    0.0994446
   0.2540121    0.1009495
   0.2140121    0.1009143
   0.1910120    0.0998371
   0.1580116    0.0963910
   0.1310110    0.0914343
   0.1070102    0.0850272
   0.0820091    0.0759202
   0.0607079    0.0657127
   0.0338058    0.0481359
   0.0256049    0.0411869
   0.0092528    0.0229589
   0.0044318    0.0151495
   0.0009208    0.0064799
   0.0000000    0.0000000
   0.0044986   -0.0120405
   0.0131977   -0.0190916
   0.0165975   -0.0209320
   0.0513962   -0.0314362
   0.0914956   -0.0369310
   0.1299952   -0.0398756
   0.1569950   -0.0412688
   0.1819949   -0.0422718
   0.2149948   -0.0433258
   0.2459947   -0.0441395
   0.2679946   -0.0446122
   0.2909946   -0.0449849
   0.3209946   -0.0452285
   0.3459946   -0.0451715
   0.3759946   -0.0447851
   0.4049947   -0.0441386
   0.4339948   -0.0433021
   0.4599949   -0.0424352
   0.4869950   -0.0414284
   0.5109952   -0.0404113
   0.5319953   -0.0394238
   0.5519954   -0.0384062
   0.5719955   -0.0373086
   0.5959957   -0.0358515
   0.6239959   -0.0339449
   0.6499962   -0.0320280
   0.6819965   -0.0295318
   0.7139968   -0.0270057
   0.7429970   -0.0247392
   0.7689973   -0.0226723
   0.7959976   -0.0204155
   0.8259979   -0.0176691
   0.8539982   -0.0148425
   0.8849986   -0.0114662
   0.9159990   -0.0079399
   0.9459994   -0.0046035
   0.9789998   -0.0014275
   1.0000000    0.0000000
