Eiffel 371  from kurisawa Mod
   0.0786200   -0.0237800
   0.0809300   -0.0240700
   0.0832600   -0.0243700
   0.0856100   -0.0246500
   0.0879800   -0.0249400
   0.0903700   -0.0252200
   0.0927800   -0.0255000
   0.0952100   -0.0257700
   0.0976700   -0.0260500
   0.1001400   -0.0263100
   0.1026400   -0.0265800
   0.1051500   -0.0268300
   0.1076900   -0.0270800
   0.1102500   -0.0273300
   0.1128300   -0.0275800
   0.1154400   -0.0278200
   0.1180700   -0.0280700
   0.1207200   -0.0283100
   0.1234000   -0.0285400
   0.1261000   -0.0287800
   0.1288200   -0.0290100
   0.1315700   -0.0292400
   0.1343400   -0.0294700
   0.1371300   -0.0297000
   0.1399600   -0.0299200
   0.1428000   -0.0301500
   0.1456800   -0.0303700
   0.1485800   -0.0305900
   0.1515000   -0.0308200
   0.1544500   -0.0310500
   0.1574300   -0.0312700
   0.1604400   -0.0315000
   0.1634800   -0.0317300
   0.1665400   -0.0319500
   0.1696300   -0.0321800
   0.1727500   -0.0324000
   0.1759000   -0.0326200
   0.1790800   -0.0328400
   0.1822800   -0.0330600
   0.1855200   -0.0332700
   0.1887900   -0.0334900
   0.1920900   -0.0337000
   0.1954200   -0.0339100
   0.1987900   -0.0341300
   0.2021800   -0.0343400
   0.2056100   -0.0345600
   0.2090700   -0.0347800
   0.2125700   -0.0350000
   0.2161000   -0.0352100
   0.2196600   -0.0354200
   0.2232600   -0.0356300
   0.2268900   -0.0358400
   0.2305600   -0.0360400
   0.2342600   -0.0362500
   0.2380000   -0.0364400
   0.2417800   -0.0366400
   0.2456000   -0.0368300
   0.2494500   -0.0370100
   0.2533400   -0.0371900
   0.2572800   -0.0373700
   0.2612500   -0.0375400
   0.2652600   -0.0377000
   0.2693100   -0.0378600
   0.2734000   -0.0380100
   0.2775400   -0.0381600
   0.2817200   -0.0383000
   0.2859400   -0.0384300
   0.2902000   -0.0385500
   0.2945100   -0.0386700
   0.2988700   -0.0387700
   0.3032600   -0.0388400
   0.3077100   -0.0388900
   0.3122000   -0.0389400
   0.3167400   -0.0389700
   0.3213300   -0.0389900
   0.3259600   -0.0390100
   0.3306500   -0.0390200
   0.3353800   -0.0390100
   0.3401700   -0.0390000
   0.3450100   -0.0389800
   0.3499000   -0.0389500
   0.3548400   -0.0389100
   0.3598400   -0.0388700
   0.3648900   -0.0388100
   0.3700000   -0.0387400
   0.3751600   -0.0386700
   0.3803800   -0.0385800
   0.3856600   -0.0384900
   0.3909900   -0.0383900
   0.3963900   -0.0382800
   0.4018500   -0.0381600
   0.4073700   -0.0380400
   0.4129500   -0.0379100
   0.4185900   -0.0377600
   0.4243000   -0.0376100
   0.4300700   -0.0374500
   0.4359100   -0.0372800
   0.4418200   -0.0371000
   0.4478000   -0.0369100
   0.4538400   -0.0367100
   0.4599600   -0.0364900
   0.4661400   -0.0362700
   0.4724000   -0.0360300
   0.4787400   -0.0357900
   0.4851400   -0.0355300
   0.4916300   -0.0352600
   0.4981900   -0.0349800
   0.5048300   -0.0346600
   0.5115500   -0.0343300
   0.5183500   -0.0339800
   0.5252300   -0.0336200
   0.5322000   -0.0332600
   0.5392500   -0.0328800
   0.5463900   -0.0325000
   0.5536200   -0.0321100
   0.5609400   -0.0317100
   0.5683400   -0.0313100
   0.5758400   -0.0309000
   0.5834400   -0.0304900
   0.5911200   -0.0300700
   0.5989100   -0.0296600
   0.6068000   -0.0293200
   0.6147800   -0.0289900
   0.6228700   -0.0286600
   0.6310600   -0.0283100
   0.6393500   -0.0279600
   0.6477600   -0.0276000
   0.6562700   -0.0272200
   0.6649000   -0.0268200
   0.6736300   -0.0264000
   0.6824900   -0.0259500
   0.6914600   -0.0254800
   0.7005500   -0.0249600
   0.7097600   -0.0242800
   0.7190900   -0.0235800
   0.7285500   -0.0228400
   0.7381400   -0.0220800
   0.7478500   -0.0213000
   0.7577000   -0.0205000
   0.7676900   -0.0196900
   0.7778100   -0.0188700
   0.7880800   -0.0180400
   0.7984800   -0.0172200
   0.8090300   -0.0166200
   0.8197300   -0.0160600
   0.8305800   -0.0154800
   0.8415800   -0.0148600
   0.8527400   -0.0142000
   0.8640600   -0.0134800
   0.8755400   -0.0126900
   0.8871900   -0.0117900
   0.8990000   -0.0107900
   0.9109900   -0.0094700
   0.9231500   -0.0080800
   0.9354900   -0.0066500
   0.9480100   -0.0052200
   0.9607200   -0.0038100
   0.9736200   -0.0024500
   0.9867100   -0.0011700
   1.0000000    0.0000000
