HN-163TB F3B  Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0001400
   0.9960600    0.0006200
   0.9911400    0.0014600
   0.9842900    0.0026800
   0.9755300    0.0042500
   0.9648900    0.0061000
   0.9524100    0.0081700
   0.9381500    0.0104000
   0.9221600    0.0127900
   0.9045100    0.0153400
   0.8852600    0.0180500
   0.8644800    0.0208800
   0.8422700    0.0238000
   0.8187100    0.0267900
   0.7938900    0.0298000
   0.7679100    0.0328100
   0.7408800    0.0357900
   0.7128900    0.0387100
   0.6840600    0.0415500
   0.6545100    0.0442700
   0.6243500    0.0468600
   0.5936900    0.0492700
   0.5626700    0.0514900
   0.5314000    0.0535000
   0.5000000    0.0552500
   0.4686100    0.0567400
   0.4373300    0.0579400
   0.4063100    0.0588200
   0.3756600    0.0593700
   0.3454900    0.0595800
   0.3159400    0.0594300
   0.2871100    0.0589100
   0.2591200    0.0580100
   0.2320900    0.0567200
   0.2061100    0.0550600
   0.1812900    0.0530200
   0.1577300    0.0506100
   0.1355200    0.0478500
   0.1147400    0.0447300
   0.0954900    0.0413000
   0.0778400    0.0375700
   0.0618500    0.0335900
   0.0475900    0.0293800
   0.0351100    0.0249800
   0.0244700    0.0204500
   0.0157100    0.0159000
   0.0088600    0.0114400
   0.0039400    0.0070700
   0.0009900    0.0030900
   0.0000000    0.0000000
   0.0009900   -0.0025600
   0.0039400   -0.0053900
   0.0088600   -0.0081300
   0.0157100   -0.0106800
   0.0244700   -0.0131000
   0.0351100   -0.0153500
   0.0475900   -0.0173400
   0.0618500   -0.0191100
   0.0778400   -0.0206300
   0.0954900   -0.0219100
   0.1147400   -0.0229700
   0.1355200   -0.0237800
   0.1577300   -0.0243900
   0.1812900   -0.0247800
   0.2061100   -0.0249800
   0.2320900   -0.0250000
   0.2591200   -0.0248300
   0.2871100   -0.0245200
   0.3159400   -0.0240500
   0.3454900   -0.0234300
   0.3756600   -0.0227000
   0.4063100   -0.0218400
   0.4373300   -0.0208700
   0.4686100   -0.0197900
   0.5000000   -0.0186100
   0.5314000   -0.0173200
   0.5626700   -0.0158800
   0.5936900   -0.0143000
   0.6243500   -0.0126000
   0.6545100   -0.0108700
   0.6840600   -0.0091500
   0.7128900   -0.0075000
   0.7408800   -0.0059400
   0.7679100   -0.0045100
   0.7938900   -0.0032100
   0.8187100   -0.0020700
   0.8422700   -0.0011000
   0.8644800   -0.0002900
   0.8852600    0.0003500
   0.9045100    0.0008100
   0.9221600    0.0011200
   0.9381500    0.0012700
   0.9524100    0.0012900
   0.9648900    0.0011900
   0.9755300    0.0010100
   0.9842900    0.0007600
   0.9911400    0.0004900
   0.9960600    0.0002400
   0.9990100    0.0000700
   1.0000000    0.0000000
