TP202-10% (c)Th Platon voltige par petit temps avec des planeurs de 2m50  3m
   1.0000000    0.0000700
   0.9963300    0.0006500
   0.9899400    0.0016999
   0.9826000    0.0029598
   0.9745600    0.0043597
   0.9661499    0.0058197
   0.9575999    0.0072796
   0.9489799    0.0087195
   0.9403199    0.0101194
   0.9315999    0.0114893
   0.9228499    0.0128492
   0.9140699    0.0141791
   0.9052698    0.0155091
   0.8964598    0.0168190
   0.8876398    0.0181289
   0.8788098    0.0194188
   0.8699898    0.0206887
   0.8611798    0.0219486
   0.8523598    0.0231985
   0.8435298    0.0244284
   0.8347097    0.0256483
   0.8258797    0.0268483
   0.8170397    0.0280382
   0.8081997    0.0292181
   0.7993597    0.0303880
   0.7905297    0.0315379
   0.7816997    0.0326678
   0.7728597    0.0337877
   0.7640197    0.0348976
   0.7551696    0.0359876
   0.7463296    0.0370675
   0.7374896    0.0381274
   0.7286396    0.0391773
   0.7197796    0.0402072
   0.7109396    0.0412271
   0.7020996    0.0422370
   0.6932596    0.0432169
   0.6844096    0.0441868
   0.6755495    0.0451368
   0.6666995    0.0460867
   0.6578495    0.0470066
   0.6489995    0.0479165
   0.6401495    0.0487964
   0.6312995    0.0496763
   0.6224495    0.0505262
   0.6135995    0.0513661
   0.6047595    0.0521760
   0.5959095    0.0529760
   0.5870495    0.0537559
   0.5781995    0.0545158
   0.5693594    0.0552557
   0.5605194    0.0559756
   0.5516694    0.0566755
   0.5428194    0.0573454
   0.5339694    0.0580053
   0.5251294    0.0586353
   0.5162994    0.0592452
   0.5074594    0.0598251
   0.4986194    0.0603850
   0.4897794    0.0609249
   0.4809494    0.0614348
   0.4721194    0.0619247
   0.4632894    0.0623746
   0.4544594    0.0628045
   0.4456194    0.0632145
   0.4367894    0.0635944
   0.4279694    0.0639443
   0.4191694    0.0642642
   0.4103594    0.0645441
   0.4015494    0.0647940
   0.3927294    0.0650239
   0.3839193    0.0652138
   0.3751193    0.0653738
   0.3663293    0.0654937
   0.3575293    0.0655836
   0.3487293    0.0656335
   0.3399393    0.0656534
   0.3311693    0.0656333
   0.3223993    0.0655732
   0.3136293    0.0654731
   0.3048693    0.0653330
   0.2961193    0.0651530
   0.2873894    0.0649329
   0.2786494    0.0646628
   0.2699094    0.0643427
   0.2611794    0.0639926
   0.2524694    0.0635925
   0.2437894    0.0631324
   0.2350994    0.0626224
   0.2264094    0.0620723
   0.2177394    0.0614622
   0.2091094    0.0608021
   0.2004894    0.0600820
   0.1918794    0.0593019
   0.1832894    0.0584618
   0.1747394    0.0575617
   0.1662194    0.0565817
   0.1577094    0.0555316
   0.1492195    0.0544215
   0.1407995    0.0532414
   0.1324195    0.0519713
   0.1240795    0.0506212
   0.1157995    0.0491812
   0.1075895    0.0476511
   0.0994395    0.0460110
   0.0913596    0.0442709
   0.0833896    0.0424308
   0.0755596    0.0404808
   0.0678496    0.0384007
   0.0603396    0.0362206
   0.0530697    0.0339005
   0.0460697    0.0314905
   0.0394797    0.0290104
   0.0333997    0.0264703
   0.0278998    0.0239603
   0.0230798    0.0215302
   0.0189598    0.0192402
   0.0154898    0.0171402
   0.0125998    0.0152101
   0.0102099    0.0134401
   0.0081999    0.0118101
   0.0065099    0.0103301
   0.0050799    0.0089501
   0.0038799    0.0076600
   0.0028899    0.0064200
   0.0020899    0.0052300
   0.0014300    0.0040900
   0.0008900    0.0030000
   0.0004600    0.0019600
   0.0001600    0.0009600
   0.0000000    0.0000000
   0.0000000   -0.0000200
   0.0000900   -0.0003200
   0.0003100   -0.0009900
   0.0006300   -0.0018800
   0.0012800   -0.0033600
   0.0026701   -0.0053800
   0.0050501   -0.0075599
   0.0090501   -0.0100599
   0.0147601   -0.0128599
   0.0215102   -0.0154998
   0.0286802   -0.0177997
   0.0361302   -0.0197696
   0.0438002   -0.0215096
   0.0516002   -0.0230595
   0.0594802   -0.0244294
   0.0674403   -0.0256493
   0.0754403   -0.0267492
   0.0834903   -0.0277292
   0.0915703   -0.0286091
   0.0996703   -0.0294090
   0.1078003   -0.0301289
   0.1159403   -0.0307788
   0.1240903   -0.0313588
   0.1322603   -0.0318787
   0.1404403   -0.0323486
   0.1486303   -0.0327785
   0.1568303   -0.0331484
   0.1650303   -0.0334783
   0.1732403   -0.0337783
   0.1814503   -0.0340282
   0.1896703   -0.0342481
   0.1978803   -0.0344280
   0.2061103   -0.0345879
   0.2143403   -0.0347079
   0.2225603   -0.0348078
   0.2308003   -0.0348777
   0.2390303   -0.0349176
   0.2472603   -0.0349475
   0.2555003   -0.0349374
   0.2637403   -0.0349174
   0.2719803   -0.0348773
   0.2802103   -0.0348072
   0.2884503   -0.0347171
   0.2966903   -0.0346070
   0.3049303   -0.0344870
   0.3131703   -0.0343469
   0.3214103   -0.0341768
   0.3296503   -0.0340067
   0.3378903   -0.0338066
   0.3461303   -0.0335965
   0.3543703   -0.0333765
   0.3626103   -0.0331364
   0.3708503   -0.0328863
   0.3790903   -0.0326162
   0.3873403   -0.0323361
   0.3955803   -0.0320360
   0.4038103   -0.0317260
   0.4120503   -0.0314059
   0.4203003   -0.0310658
   0.4285403   -0.0307257
   0.4367803   -0.0303756
   0.4450203   -0.0300055
   0.4532603   -0.0296355
   0.4615003   -0.0292454
   0.4697403   -0.0288553
   0.4779803   -0.0284552
   0.4862103   -0.0280451
   0.4944503   -0.0276251
   0.5026903   -0.0271950
   0.5109203   -0.0267549
   0.5191503   -0.0263048
   0.5273903   -0.0258547
   0.5356103   -0.0253846
   0.5438302   -0.0249046
   0.5520702   -0.0244045
   0.5602902   -0.0239144
   0.5685102   -0.0233843
   0.5767402   -0.0228642
   0.5849602   -0.0223242
   0.5931702   -0.0217741
   0.6013902   -0.0212040
   0.6096102   -0.0206239
   0.6178302   -0.0200438
   0.6260602   -0.0194537
   0.6342802   -0.0188637
   0.6425102   -0.0182636
   0.6507402   -0.0176635
   0.6589702   -0.0170534
   0.6671902   -0.0164433
   0.6754102   -0.0158432
   0.6836402   -0.0152332
   0.6918701   -0.0146231
   0.7001001   -0.0140230
   0.7083301   -0.0134129
   0.7165501   -0.0128228
   0.7247701   -0.0122228
   0.7329901   -0.0116327
   0.7412101   -0.0110426
   0.7494401   -0.0104625
   0.7576701   -0.0098924
   0.7658901   -0.0093223
   0.7741101   -0.0087623
   0.7823401   -0.0082122
   0.7905701   -0.0076721
   0.7988001   -0.0071320
   0.8070201   -0.0066119
   0.8152401   -0.0060918
   0.8234701   -0.0055918
   0.8317001   -0.0051117
   0.8399200   -0.0046316
   0.8481400   -0.0041815
   0.8563700   -0.0037314
   0.8645900   -0.0033014
   0.8728100   -0.0028913
   0.8810300   -0.0025012
   0.8892600   -0.0021211
   0.8974800   -0.0017710
   0.9057000   -0.0014509
   0.9139300   -0.0011509
   0.9221500   -0.0008708
   0.9303800   -0.0006207
   0.9386000   -0.0003906
   0.9468300   -0.0002005
   0.9550400   -0.0000204
   0.9632600    0.0001196
   0.9714700    0.0002097
   0.9796600    0.0002298
   0.9877600    0.0001599
   0.9955300    0.0000300
   1.0000000   -0.0000700
