HN-409	Planeur>3
   1.0000000    0.0000000
   0.9990100    0.0001900
   0.9960600    0.0008100
   0.9911400    0.0019000
   0.9842900    0.0034800
   0.9755300    0.0055100
   0.9648900    0.0079000
   0.9524100    0.0105800
   0.9381500    0.0134600
   0.9221600    0.0165700
   0.9045100    0.0198900
   0.8852600    0.0234200
   0.8644800    0.0271200
   0.8422700    0.0309200
   0.8187100    0.0348200
   0.7938900    0.0387600
   0.7679100    0.0426900
   0.7408800    0.0465800
   0.7128900    0.0503900
   0.6840600    0.0540700
   0.6545100    0.0576000
   0.6243500    0.0609400
   0.5936900    0.0640300
   0.5626700    0.0668600
   0.5314000    0.0693800
   0.5000000    0.0715700
   0.4686100    0.0733900
   0.4373300    0.0748200
   0.4063100    0.0758400
   0.3756600    0.0764200
   0.3454900    0.0765700
   0.3159400    0.0762400
   0.2871100    0.0754400
   0.2591200    0.0741500
   0.2320900    0.0723900
   0.2061100    0.0701400
   0.1812900    0.0674300
   0.1577300    0.0642400
   0.1355200    0.0606300
   0.1147400    0.0565800
   0.0954900    0.0521500
   0.0778400    0.0473700
   0.0618500    0.0422800
   0.0475900    0.0369300
   0.0351100    0.0313700
   0.0244700    0.0256400
   0.0157100    0.0199100
   0.0088600    0.0142700
   0.0039400    0.0089000
   0.0009900    0.0039600
   0.0000000    0.0000000
   0.0009900   -0.0031700
   0.0039400   -0.0066600
   0.0088600   -0.0099500
   0.0157100   -0.0130700
   0.0244700   -0.0160400
   0.0351100   -0.0187900
   0.0475900   -0.0212400
   0.0618500   -0.0234000
   0.0778400   -0.0252500
   0.0954900   -0.0268000
   0.1147400   -0.0280600
   0.1355200   -0.0290100
   0.1577300   -0.0296800
   0.1812900   -0.0300800
   0.2061100   -0.0302200
   0.2320900   -0.0301200
   0.2591200   -0.0298000
   0.2871100   -0.0292600
   0.3159400   -0.0285300
   0.3454900   -0.0276100
   0.3756600   -0.0265400
   0.4063100   -0.0253000
   0.4373300   -0.0239400
   0.4686100   -0.0224500
   0.5000000   -0.0208500
   0.5314000   -0.0191400
   0.5626700   -0.0173000
   0.5936900   -0.0153500
   0.6243500   -0.0133100
   0.6545100   -0.0112600
   0.6840600   -0.0092500
   0.7128900   -0.0073400
   0.7408800   -0.0055400
   0.7679100   -0.0039100
   0.7938900   -0.0024500
   0.8187100   -0.0011800
   0.8422700   -0.0001100
   0.8644800    0.0007600
   0.8852600    0.0014100
   0.9045100    0.0018700
   0.9221600    0.0021200
   0.9381500    0.0021900
   0.9524100    0.0020900
   0.9648900    0.0018500
   0.9755300    0.0015100
   0.9842900    0.0011200
   0.9911400    0.0007000
   0.9960600    0.0003400
   0.9990100    0.0000900
   1.0000000    0.0000000
