F3F	 Norbert Habbe
   1.0000000    0.0000000
   0.9990100    0.0001200
   0.9960600    0.0005100
   0.9911400    0.0012200
   0.9842900    0.0022600
   0.9755300    0.0036100
   0.9648900    0.0052400
   0.9524100    0.0070900
   0.9381500    0.0091200
   0.9221600    0.0113200
   0.9045100    0.0137100
   0.8852600    0.0162800
   0.8644800    0.0189900
   0.8422700    0.0218200
   0.8187100    0.0247600
   0.7938900    0.0277500
   0.7679100    0.0307900
   0.7408800    0.0338300
   0.7128900    0.0368500
   0.6840600    0.0398100
   0.6545100    0.0426800
   0.6243500    0.0454300
   0.5936900    0.0480100
   0.5626700    0.0504000
   0.5314000    0.0525500
   0.5000000    0.0544200
   0.4686100    0.0559700
   0.4373300    0.0571900
   0.4063100    0.0580600
   0.3756600    0.0585500
   0.3454900    0.0586700
   0.3159400    0.0583900
   0.2871100    0.0577400
   0.2591200    0.0567000
   0.2320900    0.0552900
   0.2061100    0.0535100
   0.1812900    0.0513700
   0.1577300    0.0488800
   0.1355200    0.0460700
   0.1147400    0.0429300
   0.0954900    0.0395000
   0.0778400    0.0358200
   0.0618500    0.0319000
   0.0475900    0.0277900
   0.0351100    0.0235400
   0.0244700    0.0191900
   0.0157100    0.0148700
   0.0088600    0.0106500
   0.0039400    0.0065700
   0.0009900    0.0028900
   0.0000000    0.0000000
   0.0009900   -0.0024300
   0.0039400   -0.0049300
   0.0088600   -0.0074200
   0.0157100   -0.0098000
   0.0244700   -0.0120800
   0.0351100   -0.0142200
   0.0475900   -0.0161300
   0.0618500   -0.0178400
   0.0778400   -0.0193300
   0.0954900   -0.0206000
   0.1147400   -0.0216600
   0.1355200   -0.0224900
   0.1577300   -0.0231300
   0.1812900   -0.0235600
   0.2061100   -0.0238000
   0.2320900   -0.0238600
   0.2591200   -0.0237500
   0.2871100   -0.0235000
   0.3159400   -0.0230900
   0.3454900   -0.0225500
   0.3756600   -0.0218800
   0.4063100   -0.0211100
   0.4373300   -0.0202400
   0.4686100   -0.0192800
   0.5000000   -0.0182300
   0.5314000   -0.0171000
   0.5626700   -0.0158700
   0.5936900   -0.0145500
   0.6243500   -0.0131400
   0.6545100   -0.0117000
   0.6840600   -0.0102500
   0.7128900   -0.0088200
   0.7408800   -0.0074400
   0.7679100   -0.0061300
   0.7938900   -0.0049000
   0.8187100   -0.0037900
   0.8422700   -0.0028000
   0.8644800   -0.0019300
   0.8852600   -0.0012000
   0.9045100   -0.0006000
   0.9221600   -0.0001500
   0.9381500    0.0001800
   0.9524100    0.0003800
   0.9648900    0.0004800
   0.9755300    0.0004900
   0.9842900    0.0004200
   0.9911400    0.0002900
   0.9960600    0.0001600
   0.9990100    0.0000500
   1.0000000    0.0000000
