MH31  Martin Hepperle
   1.0000000    0.0000000
   0.9966401    0.0002507
   0.9868102    0.0011326
   0.9710406    0.0028558
   0.9498411    0.0053800
   0.9236717    0.0085953
   0.8929925    0.0122814
   0.8581633    0.0162584
   0.8195641    0.0203461
   0.7775549    0.0244445
   0.7325957    0.0285235
   0.6851965    0.0325030
   0.6359073    0.0363228
   0.5852880    0.0398829
   0.5338886    0.0431032
   0.4822792    0.0459035
   0.4310296    0.0482238
   0.3806900    0.0499739
   0.3318202    0.0510936
   0.2849303    0.0515030
   0.2405002    0.0511319
   0.1989800    0.0499402
   0.1607496    0.0478579
   0.1261390    0.0448548
   0.0954282    0.0409609
   0.0688272    0.0362162
   0.0465261    0.0306607
   0.0285749    0.0244143
   0.0150235    0.0176270
   0.0057821    0.0106188
   0.0008708    0.0038898
   0.0001203    0.0014300
   0.0000000    0.0000000
   0.0002197   -0.0012500
   0.0008995   -0.0023902
   0.0020293   -0.0035604
   0.0061987   -0.0064912
   0.0171677   -0.0113034
   0.0330669   -0.0157166
   0.0538261   -0.0195308
   0.0793155   -0.0226759
   0.1093450   -0.0251319
   0.1436846   -0.0268987
   0.1820044   -0.0280064
   0.2239343   -0.0284948
   0.2690443   -0.0284238
   0.3168744   -0.0278434
   0.3668946   -0.0268434
   0.4185649   -0.0254837
   0.4712952   -0.0238243
   0.5245056   -0.0219649
   0.5775660   -0.0199455
   0.6298664   -0.0178460
   0.6807969   -0.0157262
   0.7297573   -0.0136360
   0.7761477   -0.0116152
   0.8194181   -0.0097139
   0.8590184   -0.0079518
   0.8944787   -0.0063389
   0.9253290   -0.0048751
   0.9511793   -0.0035302
   0.9717396   -0.0022143
   0.9869698   -0.0009674
   0.9966400   -0.0002093
   1.0000000    0.0000000
