MH 51	Martin Hepperle Very low drag coefficient airfoil for high speed model aircraft
   1.0000000    0.0000000
   0.9998100    0.0000000
   0.9992600    0.0000200
   0.9983500    0.0000600
   0.9970900    0.0001100
   0.9954800    0.0001700
   0.9935100    0.0002500
   0.9912000    0.0003600
   0.9885300    0.0004800
   0.9855300    0.0006300
   0.9821800    0.0008100
   0.9785000    0.0010200
   0.9744800    0.0012700
   0.9701400    0.0015400
   0.9654800    0.0018600
   0.9605000    0.0022200
   0.9552100    0.0026200
   0.9496200    0.0030700
   0.9437300    0.0035600
   0.9375500    0.0040900
   0.9310900    0.0046700
   0.9243500    0.0052900
   0.9173400    0.0059700
   0.9100700    0.0066800
   0.9025500    0.0074500
   0.8947800    0.0082700
   0.8867900    0.0091300
   0.8785700    0.0100500
   0.8701400    0.0110100
   0.8615100    0.0120100
   0.8527100    0.0130400
   0.8437200    0.0141200
   0.8345800    0.0152200
   0.8253000    0.0163300
   0.8158700    0.0174500
   0.8063000    0.0185500
   0.7965800    0.0196300
   0.7867300    0.0206800
   0.7767300    0.0217100
   0.7665900    0.0227100
   0.7562900    0.0236700
   0.7458500    0.0246000
   0.7352700    0.0254900
   0.7245300    0.0263600
   0.7136500    0.0272100
   0.7026300    0.0280400
   0.6914800    0.0288600
   0.6802100    0.0296700
   0.6688300    0.0304500
   0.6573600    0.0312300
   0.6458000    0.0320000
   0.6341500    0.0327400
   0.6224200    0.0334800
   0.6106200    0.0341800
   0.5987700    0.0348800
   0.5868500    0.0355500
   0.5748800    0.0362100
   0.5628800    0.0368500
   0.5508400    0.0374600
   0.5387700    0.0380500
   0.5266900    0.0386300
   0.5145900    0.0391800
   0.5025000    0.0397000
   0.4904000    0.0401900
   0.4783100    0.0406700
   0.4662500    0.0411200
   0.4542100    0.0415400
   0.4422000    0.0419400
   0.4302300    0.0423000
   0.4183100    0.0426400
   0.4064500    0.0429400
   0.3946400    0.0432200
   0.3829000    0.0434700
   0.3712400    0.0436700
   0.3596600    0.0438600
   0.3481700    0.0440000
   0.3367700    0.0441200
   0.3254800    0.0442000
   0.3142900    0.0442400
   0.3032200    0.0442500
   0.2922700    0.0442300
   0.2814500    0.0441700
   0.2707600    0.0440700
   0.2602100    0.0439200
   0.2498000    0.0437500
   0.2395500    0.0435400
   0.2294500    0.0433000
   0.2195100    0.0430100
   0.2097400    0.0426900
   0.2001500    0.0423200
   0.1907300    0.0419200
   0.1815000    0.0414900
   0.1724600    0.0410200
   0.1636100    0.0405100
   0.1549700    0.0399600
   0.1465300    0.0393600
   0.1382900    0.0387400
   0.1302800    0.0380800
   0.1224900    0.0373700
   0.1149100    0.0366300
   0.1075700    0.0358400
   0.1004600    0.0350200
   0.0935800    0.0341400
   0.0869400    0.0332100
   0.0805300    0.0322500
   0.0743600    0.0312400
   0.0684400    0.0301800
   0.0627500    0.0290700
   0.0572900    0.0279200
   0.0520700    0.0267300
   0.0470900    0.0255000
   0.0423300    0.0242400
   0.0378100    0.0229500
   0.0335300    0.0216300
   0.0295000    0.0202900
   0.0257000    0.0189200
   0.0221400    0.0175600
   0.0188400    0.0161800
   0.0157900    0.0148000
   0.0129900    0.0134200
   0.0104400    0.0120400
   0.0081600    0.0106700
   0.0061400    0.0093000
   0.0043900    0.0079500
   0.0029100    0.0066200
   0.0017400    0.0053200
