HN-33S  Norbert Habbe Leitwerke-Aile volante
   1.0000000    0.0000000
   0.9990100    0.0000400
   0.9960000    0.0001800
   0.9911400    0.0004300
   0.9842900    0.0008600
   0.9755300    0.0014700
   0.9648900    0.0022600
   0.9524100    0.0032000
   0.9381500    0.0043100
   0.9221600    0.0055800
   0.9045100    0.0070200
   0.8852600    0.0086200
   0.8644800    0.0103700
   0.8422700    0.0122400
   0.8187100    0.0142300
   0.7938900    0.0163100
   0.7679100    0.0184500
   0.7408800    0.0206400
   0.7128900    0.0228600
   0.6840600    0.0250700
   0.6545100    0.0272500
   0.6243500    0.0293900
   0.5936900    0.0314400
   0.5626700    0.0334000
   0.5314000    0.0352400
   0.5000000    0.0369400
   0.4686100    0.0384700
   0.4373300    0.0398100
   0.4063100    0.0409600
   0.3756600    0.0418900
   0.3454900    0.0426000
   0.3159400    0.0430500
   0.2871100    0.0432400
   0.2591200    0.0431600
   0.2320900    0.0427900
   0.2061100    0.0421300
   0.1812900    0.0411700
   0.1577300    0.0399000
   0.1355200    0.0383100
   0.1147400    0.0364100
   0.0954900    0.0341900
   0.0778400    0.0316500
   0.0618500    0.0288200
   0.0475900    0.0257000
   0.0351100    0.0223100
   0.0244700    0.0186600
   0.0156600    0.0148000
   0.0087600    0.0109000
   0.0037400    0.0069600
   0.0009900    0.0033300
   0.0000000    0.0000000
   0.0009900   -0.0033300
   0.0037400   -0.0069600
   0.0087600   -0.0109000
   0.0156600   -0.0148000
   0.0244700   -0.0186600
   0.0351100   -0.0223100
   0.0475900   -0.0257000
   0.0618500   -0.0288200
   0.0778400   -0.0316500
   0.0954900   -0.0341900
   0.1147400   -0.0364100
   0.1355200   -0.0383100
   0.1577300   -0.0399000
   0.1812900   -0.0411700
   0.2061100   -0.0421300
   0.2320900   -0.0427900
   0.2591200   -0.0431600
   0.2871100   -0.0432400
   0.3159400   -0.0430500
   0.3454900   -0.0426000
   0.3756600   -0.0418900
   0.4063100   -0.0409600
   0.4373300   -0.0398100
   0.4686100   -0.0384700
   0.5000000   -0.0369400
   0.5314000   -0.0352400
   0.5626700   -0.0334000
   0.5936900   -0.0314400
   0.6243500   -0.0293900
   0.6545100   -0.0272500
   0.6840600   -0.0250700
   0.7128900   -0.0228600
   0.7408800   -0.0206400
   0.7679100   -0.0184500
   0.7938900   -0.0163100
   0.8187100   -0.0142300
   0.8422700   -0.0122400
   0.8644800   -0.0103700
   0.8852600   -0.0086200
   0.9045100   -0.0070200
   0.9221600   -0.0055800
   0.9381500   -0.0043100
   0.9524100   -0.0032000
   0.9648900   -0.0022600
   0.9755300   -0.0014700
   0.9842900   -0.0008600
   0.9911400   -0.0004300
   0.9960600   -0.0001800
   0.9990100   -0.0000400
   1.0000000    0.0000000
